Theme	GIS Source Data Name	DESCRIPTION	Catchment Item Name	Divergence Item Name	Total Upstream Item Name	UNITS 	Science Base Link	Download Link	Source Link														
Chemical	TDEP_CL	"Mean Total Deposition of Chloride (kg-Cl/ha) per catchment , 2011"	CAT_TDEP_CL	ACC_TDEP_CL	TOT_TDEP_CL	kg-Cl/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TDEP_N	"Mean Total Deposition of Nitrogen (Oxidized + Reduced) (kg-N/ha) per catchment , 2011"	CAT_TDEP_N	ACC_TDEP_N	TOT_TDEP_N	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TDEP_Na	"Mean Total Deposition of  Sodium (kg-Na/ha) (kg-N/ha) per catchment , 2011"	CAT_TDEP_Na	ACC_TDEP_Na	TOT_TDEP_Na	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_OXN_T	"Bias+Precip Adjusted Wet Deposition of Oxidized Nitrogen (kg-N/ha) , 2010"	CAT_AWD_OXN_T	ACC_AWD_OXN_T	TOT_AWD_OXN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_REDN_T	"Bias+Precip Adjusted Wet Deposition of Reduced Nitrogen (kg-N/ha) per catchment , 2010"	CAT_AWD_REDN_T	ACC_AWD_REDN_T	TOT_AWD_REDN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_S_T	"Mean Precip Adjusted Wet Deposition of Total Sulfur (kg-S/ha) per catchment , 2010"	CAT_AWD_S_T	ACC_AWD_S_T	TOT_AWD_S_T	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_SS_S	"Mean Precip Adjusted Wet Deposition of Sea Salt Sulfur (kg-S/ha)  per catchment , 2010"	CAT_AWD_SS_S	ACC_AWD_SS_S	TOT_AWD_SS_S	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWDEP_CL	"Mean Precip Adjusted Wet Deposition of chloride (kg-Cl/ha) per catchment , 2010"	CAT_AWDEP_CL	ACC_AWDEP_CL	TOT_AWDEP_CL	kg-Cl/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWDEP_Na	"Mean Precip Adjusted Wet Deposition of sodium (kg-Na/ha) per catchment , 2010"	CAT_AWDEP_Na	ACC_AWDEP_Na	TOT_AWDEP_Na	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_OXN_T	"Mean Dry Deposition of Total Oxidized Nitrogen (kg-N/ha) per catchment , 2010"	CAT_DD_OXN_T	ACC_DD_OXN_T	TOT_DD_OXN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_REDN_T	"Mean Dry Deposition of Total Reduced Nitrogen (kg-N/ha) per catchment , 2010"	CAT_DD_REDN_T	ACC_DD_REDN_T	TOT_DD_REDN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_S_T	"Mean Dry Deposition of Total Sulfur (kg-S/ha) per catchment , 2010"	CAT_DD_S_T	ACC_DD_S_T	TOT_DD_S_T	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_SS_S	"Mean Dry Deposition of Sea Salt Sulfur (kg-S/ha) per catchment , 2010"	CAT_DD_SS_S	ACC_DD_SS_S	TOT_DD_SS_S	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DDEP_CL	"Mean Dry Deposition of Chloride (kg-Cl/ha) per catchment , 2010"	CAT_DDEP_CL	ACC_DDEP_CL	TOT_DDEP_CL	kg-Cl/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DDEP_Na	"Mean Dry Deposition of Sodium (kg-Na/ha) per catchment , 2010"	CAT_DDEP_Na	ACC_DDEP_Na	TOT_DDEP_Na	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_OXNT	"Mean Total Deposition of Total Reduced N (kg-N/ha) per catchment , 2010"	CAT_TD_OXNT	ACC_TD_OXNT	TOT_TD_OXNT	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_REDN_T	"Mean Total Deposition of Total Reduced N (kg-N/ha) per catchment , 2010"	CAT_TD_REDN_T	ACC_TD_REDN_T	TOT_TD_REDN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_S_T	"Mean Total Deposition of Total Sulfur (kg-S/ha) per catchment , 2010"	CAT_TD_S_T	ACC_TD_S_T	TOT_TD_S_T	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_SS_S	"Mean Total Deposition of Sea Salt Sulfur (kg-S/ha) per catchment , 2010"	CAT_TD_SS_S	ACC_TD_SS_S	TOT_TD_SS_S	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TDEP_CL	"Mean Total Deposition of Chloride (kg-Cl/ha) per catchment , 2010"	CAT_TDEP_CL	ACC_TDEP_CL	TOT_TDEP_CL	kg-Cl/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TDEP_N	"Mean Total Deposition of Nitrogen (Oxidized + Reduced) (kg-N/ha) per catchment , 2010"	CAT_TDEP_N	ACC_TDEP_N	TOT_TDEP_N	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TDEP_Na	"Mean Total Deposition of  Sodium (kg-Na/ha) (kg-N/ha) per catchment , 2010"	CAT_TDEP_Na	ACC_TDEP_Na	TOT_TDEP_Na	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_OXN_T	"Bias+Precip Adjusted Wet Deposition of Oxidized Nitrogen (kg-N/ha) , 2009"	CAT_AWD_OXN_T	ACC_AWD_OXN_T	TOT_AWD_OXN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_REDN_T	"Bias+Precip Adjusted Wet Deposition of Reduced Nitrogen (kg-N/ha) per catchment , 2009"	CAT_AWD_REDN_T	ACC_AWD_REDN_T	TOT_AWD_REDN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_S_T	"Mean Precip Adjusted Wet Deposition of Total Sulfur (kg-S/ha) per catchment , 2009"	CAT_AWD_S_T	ACC_AWD_S_T	TOT_AWD_S_T	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_SS_S	"Mean Precip Adjusted Wet Deposition of Sea Salt Sulfur (kg-S/ha)  per catchment , 2009"	CAT_AWD_SS_S	ACC_AWD_SS_S	TOT_AWD_SS_S	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWDEP_CL	"Mean Precip Adjusted Wet Deposition of chloride (kg-Cl/ha) per catchment , 2009"	CAT_AWDEP_CL	ACC_AWDEP_CL	TOT_AWDEP_CL	kg-Cl/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWDEP_Na	"Mean Precip Adjusted Wet Deposition of sodium (kg-Na/ha) per catchment , 2009"	CAT_AWDEP_Na	ACC_AWDEP_Na	TOT_AWDEP_Na	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_OXN_T	"Mean Dry Deposition of Total Oxidized Nitrogen (kg-N/ha) per catchment , 2009"	CAT_DD_OXN_T	ACC_DD_OXN_T	TOT_DD_OXN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_REDN_T	"Mean Dry Deposition of Total Reduced Nitrogen (kg-N/ha) per catchment , 2009"	CAT_DD_REDN_T	ACC_DD_REDN_T	TOT_DD_REDN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_S_T	"Mean Dry Deposition of Total Sulfur (kg-S/ha) per catchment , 2009"	CAT_DD_S_T	ACC_DD_S_T	TOT_DD_S_T	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_SS_S	"Mean Dry Deposition of Sea Salt Sulfur (kg-S/ha) per catchment , 2009"	CAT_DD_SS_S	ACC_DD_SS_S	TOT_DD_SS_S	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DDEP_CL	"Mean Dry Deposition of Chloride (kg-Cl/ha) per catchment , 2009"	CAT_DDEP_CL	ACC_DDEP_CL	TOT_DDEP_CL	kg-Cl/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DDEP_Na	"Mean Dry Deposition of Sodium (kg-Na/ha) per catchment , 2009"	CAT_DDEP_Na	ACC_DDEP_Na	TOT_DDEP_Na	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_OXNT	"Mean Total Deposition of Total Reduced N (kg-N/ha) per catchment , 2009"	CAT_TD_OXNT	ACC_TD_OXNT	TOT_TD_OXNT	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_REDN_T	"Mean Total Deposition of Total Reduced N (kg-N/ha) per catchment , 2009"	CAT_TD_REDN_T	ACC_TD_REDN_T	TOT_TD_REDN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_S_T	"Mean Total Deposition of Total Sulfur (kg-S/ha) per catchment , 2009"	CAT_TD_S_T	ACC_TD_S_T	TOT_TD_S_T	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_SS_S	"Mean Total Deposition of Sea Salt Sulfur (kg-S/ha) per catchment , 2009"	CAT_TD_SS_S	ACC_TD_SS_S	TOT_TD_SS_S	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TDEP_CL	"Mean Total Deposition of Chloride (kg-Cl/ha) per catchment , 2009"	CAT_TDEP_CL	ACC_TDEP_CL	TOT_TDEP_CL	kg-Cl/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TDEP_N	"Mean Total Deposition of Nitrogen (Oxidized + Reduced) (kg-N/ha) per catchment , 2009"	CAT_TDEP_N	ACC_TDEP_N	TOT_TDEP_N	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TDEP_Na	"Mean Total Deposition of  Sodium (kg-Na/ha) (kg-N/ha) per catchment , 2009"	CAT_TDEP_Na	ACC_TDEP_Na	TOT_TDEP_Na	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_OXN_T	"Bias+Precip Adjusted Wet Deposition of Oxidized Nitrogen (kg-N/ha) , 2008"	CAT_AWD_OXN_T	ACC_AWD_OXN_T	TOT_AWD_OXN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_REDN_T	"Bias+Precip Adjusted Wet Deposition of Reduced Nitrogen (kg-N/ha) per catchment , 2008"	CAT_AWD_REDN_T	ACC_AWD_REDN_T	TOT_AWD_REDN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_S_T	"Mean Precip Adjusted Wet Deposition of Total Sulfur (kg-S/ha) per catchment , 2008"	CAT_AWD_S_T	ACC_AWD_S_T	TOT_AWD_S_T	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_SS_S	"Mean Precip Adjusted Wet Deposition of Sea Salt Sulfur (kg-S/ha)  per catchment , 2008"	CAT_AWD_SS_S	ACC_AWD_SS_S	TOT_AWD_SS_S	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWDEP_CL	"Mean Precip Adjusted Wet Deposition of chloride (kg-Cl/ha) per catchment , 2008"	CAT_AWDEP_CL	ACC_AWDEP_CL	TOT_AWDEP_CL	kg-Cl/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWDEP_Na	"Mean Precip Adjusted Wet Deposition of sodium (kg-Na/ha) per catchment , 2008"	CAT_AWDEP_Na	ACC_AWDEP_Na	TOT_AWDEP_Na	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_OXN_T	"Mean Dry Deposition of Total Oxidized Nitrogen (kg-N/ha) per catchment , 2008"	CAT_DD_OXN_T	ACC_DD_OXN_T	TOT_DD_OXN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_REDN_T	"Mean Dry Deposition of Total Reduced Nitrogen (kg-N/ha) per catchment , 2008"	CAT_DD_REDN_T	ACC_DD_REDN_T	TOT_DD_REDN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_S_T	"Mean Dry Deposition of Total Sulfur (kg-S/ha) per catchment , 2008"	CAT_DD_S_T	ACC_DD_S_T	TOT_DD_S_T	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DD_SS_S	"Mean Dry Deposition of Sea Salt Sulfur (kg-S/ha) per catchment , 2008"	CAT_DD_SS_S	ACC_DD_SS_S	TOT_DD_SS_S	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DDEP_CL	"Mean Dry Deposition of Chloride (kg-Cl/ha) per catchment , 2008"	CAT_DDEP_CL	ACC_DDEP_CL	TOT_DDEP_CL	kg-Cl/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	DDEP_Na	"Mean Dry Deposition of Sodium (kg-Na/ha) per catchment , 2008"	CAT_DDEP_Na	ACC_DDEP_Na	TOT_DDEP_Na	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_OXNT	"Mean Total Deposition of Total Reduced N (kg-N/ha) per catchment , 2008"	CAT_TD_OXNT	ACC_TD_OXNT	TOT_TD_OXNT	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_REDN_T	"Mean Total Deposition of Total Reduced N (kg-N/ha) per catchment , 2008"	CAT_TD_REDN_T	ACC_TD_REDN_T	TOT_TD_REDN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_S_T	"Mean Total Deposition of Total Sulfur (kg-S/ha) per catchment , 2008"	CAT_TD_S_T	ACC_TD_S_T	TOT_TD_S_T	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TD_SS_S	"Mean Total Deposition of Sea Salt Sulfur (kg-S/ha) per catchment , 2008"	CAT_TD_SS_S	ACC_TD_SS_S	TOT_TD_SS_S	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TDEP_CL	"Mean Total Deposition of Chloride (kg-Cl/ha) per catchment , 2008"	CAT_TDEP_CL	ACC_TDEP_CL	TOT_TDEP_CL	kg-Cl/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TDEP_N	"Mean Total Deposition of Nitrogen (Oxidized + Reduced) (kg-N/ha) per catchment , 2008"	CAT_TDEP_N	ACC_TDEP_N	TOT_TDEP_N	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	TDEP_Na	"Mean Total Deposition of  Sodium (kg-Na/ha) (kg-N/ha) per catchment , 2008"	CAT_TDEP_Na	ACC_TDEP_Na	TOT_TDEP_Na	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_OXN_T	"Bias+Precip Adjusted Wet Deposition of Oxidized Nitrogen (kg-N/ha) , 2007"	CAT_AWD_OXN_T	ACC_AWD_OXN_T	TOT_AWD_OXN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_REDN_T	"Bias+Precip Adjusted Wet Deposition of Reduced Nitrogen (kg-N/ha) per catchment , 2007"	CAT_AWD_REDN_T	ACC_AWD_REDN_T	TOT_AWD_REDN_T	kg-N/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_S_T	"Mean Precip Adjusted Wet Deposition of Total Sulfur (kg-S/ha) per catchment , 2007"	CAT_AWD_S_T	ACC_AWD_S_T	TOT_AWD_S_T	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWD_SS_S	"Mean Precip Adjusted Wet Deposition of Sea Salt Sulfur (kg-S/ha)  per catchment , 2007"	CAT_AWD_SS_S	ACC_AWD_SS_S	TOT_AWD_SS_S	kg-S/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
Chemical	AWDEP_CL	"Mean Precip Adjusted Wet Deposition of chloride (kg-Cl/ha) per catchment , 2007"	CAT_AWDEP_CL	ACC_AWDEP_CL	TOT_AWDEP_CL	kg-Cl/ha	https://www.sciencebase.gov/catalog/item/58471d11e4b0f34b016ff290																
